source_id,source_name,source_type,url,project_use,allowed_use_status,limits,review_owner
FDA-510K-DB,FDA Releasable 510(k) Database,product_scope_scan,https://www.fda.gov/medical-devices/510k-clearances/search-releasable-510k-database,"Search comparator products by device name, product code, or 510(k) number; extract classification, product code, applicant, decision date, and summary availability",source-backed,"A database hit does not mean this v0 demo is cleared, equivalent, or clinically validated",regulatory_or_product_owner_tbd
FDA-510K-CONTENT,FDA Content of a 510(k),product_scope_scan,https://www.fda.gov/medical-devices/premarket-notification-510k/content-510k,"Extract indications for use, device description, technological characteristics, comparison, and performance evidence categories from a named comparator summary",source-backed,"Structure guide only; not a source for symptom-question content or triage thresholds",regulatory_or_product_owner_tbd
FDA-510K-PREMARKET,FDA Premarket Notification 510(k),product_scope_scan,https://www.fda.gov/medical-devices/premarket-submissions-selecting-and-preparing-correct-submission/premarket-notification-510k,"Expert-cited 510(k) boundary reference for substantial equivalence, intended use, predicate comparison, and the need for FDA clearance before marketing",source-backed,"June demo may say comparable-product / 510(k) scope scan only; do not say predicate-equivalent, FDA-ready, 510(k)-ready, or cleared",regulatory_or_product_owner_tbd
FDA-CDS-FAQ-2022,FDA Clinical Decision Support Software FAQ,regulatory_boundary,https://www.fda.gov/medical-devices/software-medical-device-samd/clinical-decision-support-software-frequently-asked-questions-faqs,"CDS boundary, multi-function product framing, transparency and independent-review framing",source-backed,"Not a source for symptom questionnaire content or triage thresholds",regulatory_or_product_owner_tbd
FDA-CDS-GUIDANCE-2026,FDA Clinical Decision Support Software Guidance January 2026,regulatory_boundary,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/clinical-decision-support-software,"Expert-cited CDS boundary reference for Non-Device CDS criteria, HCP independent-review framing, patient/caregiver use, and device-function risk caution",source-backed,"Not a source for symptom questionnaire content, vital thresholds, clinical validation, or triage thresholds; use only for claim and intended-use boundary",regulatory_or_product_owner_tbd
FDA-DEVICE-SOFTWARE-2022,FDA Policy for Device Software Functions and Mobile Medical Applications September 2022,regulatory_boundary,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/policy-device-software-functions-and-mobile-medical-applications,"Risk-based software-function boundary for general-purpose platforms and device software functions",source-backed,"Does not authorize clinical triage claims or production medical-device behavior for this demo",regulatory_or_product_owner_tbd
FDA-DHPN-STEP6,FDA Digital Health Policy Navigator Step 6,regulatory_boundary,https://www.fda.gov/medical-devices/digital-health-center-excellence/step-6-software-function-intended-provide-clinical-decision-support,"Intended-use and CDS-function boundary",source-backed,"Navigator does not provide formal device determination or clinical question content",regulatory_or_product_owner_tbd
FDA-CYBERSECURITY,FDA Medical Device Cybersecurity,digital_health_security,https://www.fda.gov/medical-devices/digital-health-center-excellence/cybersecurity,"Connected-device and hospital-network cybersecurity boundary",source-backed,"Does not authorize live HIS/EMR integration for this demo",security_owner_tbd
FDA-CYBER-QMS-2023,FDA Cybersecurity in Medical Devices QMS Guidance,medical_device_cybersecurity,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cybersecurity-medical-devices-quality-management-system-considerations-and-content-premarket,"Boundary reference for connected-device cybersecurity and lifecycle security expectations",source-backed,"Future productization context only; June demo still avoids production endpoints, real PHI, and client-side tokens",security_owner_tbd
FDA-CYBERSECURITY-PREMARKET,FDA Cybersecurity in Medical Devices QMS and Premarket Guidance,digital_health_security,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cybersecurity-medical-devices-quality-management-system-considerations-and-content-premarket,"Expert-cited cybersecurity boundary reference for device design, labeling, and premarket documentation expectations when cybersecurity risk exists",source-backed,"For June demo use only to require a demo-level threat boundary; does not approve production endpoint, live hospital integration, or token exposure",security_owner_tbd
